연번,보고서명,유적사업명,발간기관,제출일,조사시도,조사시군구,주소,조사면적,조사기간,유적성격,시대
509,경주 동천동 766-15번지 유적,경주 동천동 766-15번지 노유자시설 신축공사부지 내 유적,(재)한국문화재연구원,2017-09-15,경북,경주시, ,,,,
510,보은 서원리 산39-7번지 유적,보은 첨단산업단지 진입도로 건설공사구간 내 유적,(재)충청북도문화재연구원,2017-09-18,충북,보은군, ,,,,
511,춘천 천전리 97-5번지 유적,춘천 천전리 97-5번지 근린생활시설부지 내 유적,(재)강원문화재연구소,2017-09-18,강원,춘천시, ,,,,
512,울산동헌 가학루,울산 동헌 가학루 복원사업부지 내 유적,(재)울산연구원,2017-09-19,울산,중구, ,,,,
513,함양 상남리 유적,함양 가축유전자원센터 이전부지 내 유적,(재)한반도문화재연구원,2017-09-19,경남,함양군, ,,,,
514,함안 용정리 석전지석묘,함안 석전 소하천 정비사업지구 내 유적,(재)한반도문화재연구원,2017-09-19,경남,함안군, ,,,,
515,연천 선곡리 삼거리유적,연천 임진강 군남지구 하천환경정비사업부지 내 유적 발(시)굴조사,(재)강원고고문화연구원,2017-09-19,경기,연천군, ,,,,
516,"의성 윤암리고분군, 안동 평팔리고분군",고속국도 제30호선 상주-안동간(금곡리고분군 외 8개유적) 건설공사 구간내 유적,(재)동아세아문화재연구원,2017-09-20,경북,의성군, ,,,,
517,진주 가좌동 산 39-6번지 유적,신진주역세권 개발사업지구(1단계-2구역) 내 유적,(재)경상문화재연구원,2017-09-20,경남,진주시, ,,,,
518,청도읍성 서문지 유적,청도읍성 서문지 발굴조사,경북문화재단 문화재연구원,2017-09-20,경북,청도군, ,,,,
519,부여 청송리유적,부여 세도면 청송리 35-42번지 긴급발굴조사,국립부여문화재연구소,2017-09-20,충남,부여군, ,,,,
520,담양 원천리 안골 유적,담양 일반산업단지 조성부지 내 유적,(재)호남문화재연구원,2017-09-21,전남,담양군, ,,,,
521,동삼동패총 문화재보호구역,부산 동삼동 패총 정비사업부지 내 유적,부산광역시립박물관,2017-09-21,부산,영도구, ,,,,
522,전주 평화동 대정Ⅱ 유적,전주 완산구 평화동 공동주택 신축부지 내 유적,(재)호남문화재연구원,2017-09-21,전북,전주시, ,,,,
523,서산 동문동 유적,서산 동문동 주택재개발 정비사업부지내 유적,(재)충청문화재연구원,2017-09-21,충남,서산시, ,,,,
524,부여 동남리 325번지 유적,부여 동남리 325번지 주택 부지 내 문화재 발굴(시굴)조사,(재)동방문화재연구원,2017-09-21,충남,부여군, ,,,,
